Unnamed: 0,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Population Rank,Percentage,Internet Rank,percentage_non_religious,clusterId
0,1.0,7.632,1.305,1.592,0.874,0.681,0.202,0.393,5523.231,83.0,87.47,29.0,16.0,1
1,2.0,7.594,1.456,1.582,0.861,0.686,0.286,0.34,5305.383,81.0,96.51,11.0,6.7,1
2,3.0,7.555,1.351,1.59,0.868,0.683,0.284,0.408,5733.551,79.0,97.1,9.0,6.9,1
3,4.0,7.495,1.343,1.644,0.914,0.677,0.353,0.138,335.025,164.0,98.26,3.0,10.04,1
4,5.0,7.487,1.42,1.549,0.927,0.66,0.256,0.357,8476.005,57.0,93.71,19.0,15.4,1
5,6.0,7.441,1.361,1.488,0.878,0.638,0.333,0.295,17035.938,41.0,93.2,20.0,59.0,1
6,7.0,7.328,1.33,1.532,0.896,0.653,0.321,0.291,36624.199,22.0,92.7,22.0,25.5,1
7,8.0,7.324,1.268,1.601,0.876,0.669,0.365,0.389,4705.818,91.0,90.81,24.0,34.6,1
8,9.0,7.314,1.355,1.501,0.913,0.659,0.285,0.383,9910.701,51.0,96.41,12.0,31.5,1
9,10.0,7.272,1.34,1.573,0.91,0.647,0.361,0.302,24450.561,34.0,86.54,31.0,19.0,1
10,11.0,7.19,1.244,1.433,0.888,0.464,0.262,0.082,66181.585,11.0,94.62,18.0,33.75,1
11,12.0,7.139,1.341,1.504,0.891,0.617,0.242,0.224,8735.453,60.0,87.94,27.0,30.2,1
12,13.0,7.072,1.01,1.459,0.817,0.632,0.143,0.101,4905.769,98.0,71.58,74.0,6.2,0
13,14.0,6.977,1.448,1.583,0.876,0.614,0.307,0.306,4761.657,96.0,84.52,34.0,6.3,1
14,15.0,6.965,1.34,1.474,0.861,0.586,0.273,0.28,82114.224,9.0,84.4,36.0,40.0,1
15,16.0,6.927,1.324,1.483,0.894,0.583,0.188,0.24,11429.336,50.0,87.68,28.0,42.5,1
16,17.0,6.91,1.576,1.52,0.896,0.632,0.196,0.321,583.455,149.0,97.83,6.0,0.0,1
17,18.0,6.886,1.398,1.471,0.819,0.547,0.291,0.133,324459.463,3.0,75.23,68.0,15.1,1
18,19.0,6.814,1.301,1.559,0.883,0.533,0.354,0.272,8321.57,69.0,81.58,43.0,3.4,1
19,20.0,6.774,2.096,0.776,0.67,0.284,0.186,0.0,9400.145,54.0,94.82,17.0,0.0,0
20,21.0,6.711,1.233,1.489,0.854,0.543,0.064,0.034,10618.303,56.0,78.72,56.0,67.8,1
21,22.0,6.627,1.27,1.525,0.884,0.645,0.376,0.142,430.835,161.0,80.07,53.0,0.0,1
22,23.0,6.489,1.293,1.466,0.908,0.52,0.098,0.176,64979.548,13.0,80.5,50.0,47.5,1
23,24.0,6.488,1.038,1.252,0.761,0.479,0.069,0.095,129163.276,8.0,63.85,92.0,10.64,0
24,25.0,6.476,1.131,1.331,0.808,0.431,0.197,0.061,18054.726,43.0,82.33,38.0,8.3,0
